Beta,Mach,AoA,Re/1e6,CL,CDo,CDi,CDtot,CDt,CDtot_t,CS,L/D,E,CFx,CFy,CFz,CMx,CMy,CMz,CMl,CMm,CMn,FOpt
0.000000000000,0.000000000000,0.000000000000,0.135359000000,-0.000026890729,0.056604569076,0.000167901145,0.056772470221,0.000001322919,0.056605891994,-0.000890176315,-0.000473657895,0.000000002027,0.056772470221,-0.000890176315,-0.000026890729,0.000003026604,0.000037442816,-0.000262871370,-0.000003026604,0.000037442816,0.000262871370,0.000000000000
0.000000000000,0.000000000000,2.000000000000,0.135359000000,0.170520013969,0.056714954615,0.002625539650,0.059340494265,0.002313836241,0.059028790856,-0.001086629440,2.873586007019,0.077986563191,0.053353282974,-0.001086629440,0.172487091168,0.000006279854,-0.035399980778,-0.000352794663,-0.000006279854,-0.035399980778,0.000352794663,0.000000000000
0.000000000000,0.000000000000,4.000000000000,0.135359000000,0.340457716857,0.057026794901,0.009925955711,0.066952750612,0.009546098448,0.066572893349,-0.001225442807,5.085044508893,0.275535881746,0.043040527290,-0.001225442807,0.344298766760,0.000007833280,-0.069784309899,-0.000432771818,-0.000007833280,-0.069784309899,0.000432771818,0.000000000000
0.000000000000,0.000000000000,6.000000000000,0.135359000000,0.509715216355,0.057533152868,0.022009979286,0.079543132154,0.021770855352,0.079304008220,-0.001292400684,6.408035521783,0.519843635392,0.025827638283,-0.001292400684,0.515237464435,0.000006410180,-0.102517898040,-0.000484639649,-0.000006410180,-0.102517898040,0.000484639649,0.000000000000
0.000000000000,0.000000000000,8.000000000000,0.135359000000,0.677951033190,0.058229618026,0.038783044846,0.097012662872,0.039109231948,0.097338849974,-0.001309175239,6.988273624476,0.754029696397,0.001715994718,-0.001309175239,0.684854813462,0.000002976559,-0.132813355927,-0.000527667815,-0.000002976559,-0.132813355927,0.000527667815,0.000000000000
0.000000000000,0.000000000000,10.000000000000,0.135359000000,0.845040794829,0.059117251686,0.060148461761,0.119265713447,0.061465037197,0.120582288883,-0.001270259930,7.085362342647,0.952927723537,-0.029285994805,-0.001270259930,0.852913000157,-0.000006107311,-0.160009079238,-0.000560108076,0.000006107311,-0.160009079238,0.000560108076,0.000000000000
0.000000000000,0.000000000000,12.000000000000,0.135359000000,1.011065550099,0.060196405513,0.086029688199,0.146226093713,0.088819520321,0.149015925835,-0.001185038595,6.914398958690,1.112638208076,-0.067181645319,-0.001185038595,1.019373456400,-0.000014908761,-0.183573526134,-0.000586015381,0.000014908761,-0.183573526134,0.000586015381,0.000000000000
0.000000000000,0.000000000000,14.000000000000,0.135359000000,1.175622339090,0.061460215065,0.116269383674,0.177729598739,0.120829357793,0.182289572858,-0.000994697650,6.614668279399,1.237645084869,-0.111958514693,-0.000994697650,1.183698012764,-0.000019839866,-0.202743131576,-0.000587790875,0.000019839866,-0.202743131576,0.000587790875,0.000000000000
0.000000000000,0.000000000000,16.000000000000,0.135359000000,1.339075459192,0.062911187201,0.150840015852,0.213751203053,0.157334529562,0.220245716763,-0.000613141254,6.264645251426,1.335124471403,-0.163628374856,-0.000613141254,1.346119763304,-0.000025132397,-0.217199297525,-0.000523584970,0.000025132397,-0.217199297525,0.000523584970,0.000000000000
0.000000000000,0.000000000000,18.000000000000,0.135359000000,1.500510599840,0.064538915464,0.189394880660,0.253933796124,0.198317045974,0.262855961438,-0.000003699969,5.909062215200,1.411165181382,-0.222177884079,-0.000003699969,1.505540242196,-0.000012660573,-0.225803391979,-0.000434802094,0.000012660573,-0.225803391979,0.000434802094,0.000000000000
0.000000000000,0.000000000000,20.000000000000,0.135359000000,1.659817323072,0.066340052078,0.231777914395,0.298117966473,0.243325138463,0.309665190541,0.000406382900,5.567652774192,1.470796736726,-0.287551705513,0.000406382900,1.661680439964,-0.000007369864,-0.228100640382,-0.000406719103,0.000007369864,-0.228100640382,0.000406719103,0.000000000000
